TYPE,OBJECTID,year,month,dayinweek,hour,road,lanes,latitude,longitude,severity,severityString
Pedestrian,203078210,2020,5,1,21,EAKIN RD,2,39.931992,-83.048432,3,Non-Incapacitating Injury
Pedestrian,203080019,2020,5,2,17,OHIO AVE,1,39.948383,-82.9716,2,Incapacitating Injury
Pedestrian,203080044,2020,5,2,20,COUNTRY RIDGE DR,2,40.003831,-83.158017,4,Possible Injury
Pedestrian,203080105,2020,5,7,1,APPLEBROOK CT,2,39.945857,-83.15485,2,Incapacitating Injury
Pedestrian,203081538,2020,5,4,15,HIGH ST,4,39.953482,-82.998952,3,Non-Incapacitating Injury
Pedestrian,203081593,2020,5,3,19,Chase AVE,2,39.958161,-83.077304,3,Non-Incapacitating Injury
Pedestrian,203081624,2020,5,2,19,Daily RD,2,39.924367,-82.863876,4,Possible Injury
Pedestrian,203084943,2020,6,2,19,REFLECTIONS DR,4,40.090897,-83.088143,3,Non-Incapacitating Injury
Pedestrian,203085002,2020,6,3,21,Morse RD,4,40.059559,-82.953019,3,Non-Incapacitating Injury
Pedestrian,203087644,2020,6,1,21,Minnesota AVE,2,40.020404,-82.980832,3,Non-Incapacitating Injury
Pedestrian,203089301,2020,6,3,10,Frisbee DR,2,40.052901,-82.984783,2,Incapacitating Injury
Pedestrian,203089954,2020,6,3,6,La Vista DR,2,39.980132,-83.08555,4,Possible Injury
Pedestrian,203090537,2020,6,1,19,Baywood ST,2,39.951974,-82.895986,3,Non-Incapacitating Injury
Pedestrian,203090648,2020,6,2,23,Brentnell BLVD,2,40.026808,-82.94715,4,Possible Injury
Pedestrian,203091281,2020,6,4,21,Hard RD,4,40.117765,-83.084512,4,Possible Injury
Pedestrian,203091647,2020,6,6,8,Olentangy River RD,2,40.079913,-83.039051,3,Non-Incapacitating Injury
Pedestrian,203091980,2020,5,1,1,Park ST,4,39.97239,-83.004606,2,Incapacitating Injury
Pedestrian,203091983,2020,6,7,1,High ST,4,39.977254,-83.003586,4,Possible Injury
Pedestrian,203091995,2020,6,6,21,DUBLIN GRANVILLE SERVICE RD,2,40.088042,-82.991782,2,Incapacitating Injury
Pedestrian,203092137,2020,6,6,20,THURMAN AVE,2,39.938473,-82.968596,4,Possible Injury
Pedestrian,203092286,2020,6,1,0,HENDERSON RD,4,40.05305,-83.049425,2,Incapacitating Injury
Pedestrian,203093756,2020,6,2,16,Sullivant AVE,4,39.951878,-83.02909,4,Possible Injury
Pedestrian,203093804,2020,6,3,13,MORSE RD,6,40.057571,-82.909312,3,Non-Incapacitating Injury
Pedestrian,203093846,2020,6,2,20,Ellsworth AVE,1,39.948732,-82.960813,3,Non-Incapacitating Injury
Pedestrian,203094837,2020,6,4,21,High ST,2,40.055969,-83.019879,2,Incapacitating Injury
Pedestrian,203095767,2020,6,5,7,James RD,4,39.956601,-82.914835,4,Possible Injury
Pedestrian,203095783,2020,6,6,20,HUDSON ST,2,40.014267,-82.98146,2,Incapacitating Injury
Pedestrian,203096529,2020,6,7,15,PURDUE AVE,2,40.01444,-82.95325,2,Incapacitating Injury
Pedestrian,203096579,2020,6,6,22,Harlem RD,2,40.109988,-82.837838,2,Incapacitating Injury
Pedestrian,203096736,2020,6,6,20,Hague AVE,2,39.941874,-83.073326,2,Incapacitating Injury
Pedestrian,203099497,2020,6,3,17,Sullivant AVE,2,39.946356,-83.058461,3,Non-Incapacitating Injury
Pedestrian,203099549,2020,6,7,17,REFGUEE RD,4,39.915153,-82.873947,3,Non-Incapacitating Injury
Pedestrian,203101422,2020,6,6,3,MOUND ST,4,39.956667,-82.979849,2,Incapacitating Injury
Pedestrian,203101439,2020,6,4,22,BROAD ST,4,39.977974,-82.857877,3,Non-Incapacitating Injury
Pedestrian,203104748,2020,6,3,21,Habersack RD,2,39.875771,-82.968185,3,Non-Incapacitating Injury
Pedestrian,203105672,2020,7,5,17,HAMILTON RD,4,39.936753,-82.878713,4,Possible Injury
Pedestrian,203107651,2020,7,4,17,WINDSOR AVE,2,39.997141,-82.975945,2,Incapacitating Injury
Pedestrian,203108611,2020,7,1,18,Livingston AVE,2,39.946435,-82.906306,2,Incapacitating Injury
Pedestrian,203109746,2020,7,6,1,APPIAN WAY,2,40.060832,-82.899011,3,Non-Incapacitating Injury
Pedestrian,203110311,2020,7,6,8,Grant AVE,4,39.957221,-82.989918,3,Non-Incapacitating Injury
Pedestrian,203111868,2020,7,1,1,CATHERINE ST,2,39.949176,-83.043311,3,Non-Incapacitating Injury
Pedestrian,203112219,2020,7,7,20,MANOR HOUSE WAY,4,40.077467,-83.092638,2,Incapacitating Injury
Pedestrian,203112491,2020,7,3,15,3RD AVE,2,39.984297,-83.025841,3,Non-Incapacitating Injury
Pedestrian,203112565,2020,7,3,15,Sullivant AVE,4,39.942477,-83.097638,1,Fatal
Pedestrian,203112893,2020,7,7,16,Barnett RD,2,39.946435,-82.906306,3,Non-Incapacitating Injury
Pedestrian,203113017,2020,7,4,7,Alum Creek DR,4,39.928143,-82.938282,2,Incapacitating Injury
Pedestrian,203113954,2020,7,5,2,Sullivant AVE,2,39.949927,-83.03934,1,Fatal
Pedestrian,203115101,2020,7,7,16,Broad ST,2,39.959838,-83.016649,2,Incapacitating Injury
Pedestrian,203115137,2020,7,7,16,Main ST,4,39.956716,-82.918794,3,Non-Incapacitating Injury
Pedestrian,203115198,2020,7,7,22,REFUGEE RD,4,39.915299,-82.876582,1,Fatal
Pedestrian,203115974,2020,7,1,9,HIGH ST,4,39.994091,-83.006875,3,Non-Incapacitating Injury
Pedestrian,203116268,2020,7,2,20,ALKIRE RD,2,39.915913,-83.071804,3,Non-Incapacitating Injury
Pedestrian,203117887,2020,7,3,20,Livingston AVE,4,39.946898,-82.915601,4,Possible Injury
Pedestrian,203119268,2020,7,6,13,Rockwood CT,2,40.078588,-82.986658,3,Non-Incapacitating Injury
Pedestrian,203119595,2020,7,5,15,ARNELLE DR,2,39.931061,-83.095989,2,Incapacitating Injury
Pedestrian,203119650,2020,5,1,3,REFUGEE RD,4,39.916181,-82.892201,2,Incapacitating Injury
Pedestrian,203119803,2020,7,7,23,Livingston AVE,4,39.945753,-82.894369,1,Fatal
Pedestrian,203123938,2020,8,7,4,McNaughten RD,2,39.951851,-82.838717,4,Possible Injury
Pedestrian,203124034,2020,7,1,13,2nd AVE,2,39.982386,-82.997385,2,Incapacitating Injury
Pedestrian,203124829,2020,7,6,1,IR 270 NB HWY IR 270,8,40.007918,-82.880285,1,Fatal
Pedestrian,203125284,2020,8,1,17,CLEVELAND AVE,4,39.998086,-82.977151,4,Possible Injury
Pedestrian,203125392,2020,7,1,18,Livingston AVE,4,39.946898,-82.915601,3,Non-Incapacitating Injury
Pedestrian,203125571,2020,8,1,5,62,2,39.93312,-83.04697,3,Non-Incapacitating Injury
Pedestrian,203126560,2020,8,2,12,Fulton ST,4,39.953469,-82.998986,3,Non-Incapacitating Injury
Pedestrian,203126648,2020,7,6,13,Broad ST,4,39.965739,-82.970198,2,Incapacitating Injury
Pedestrian,203128063,2020,8,5,20,23RD AVE,4,40.007635,-82.97108,4,Possible Injury
Pedestrian,203128307,2020,8,6,20,Broad ST,4,39.954776,-83.077587,2,Incapacitating Injury
Pedestrian,203129891,2020,8,2,15,Gatewood RD,4,40.027928,-82.923175,5,Property Damage
Pedestrian,203129940,2020,8,3,2,3rd ST,2,39.963247,-82.99814,2,Incapacitating Injury
Pedestrian,203130456,2020,8,2,18,WEDGEWOOD DR,2,39.932876,-83.098617,3,Non-Incapacitating Injury
Pedestrian,203132092,2020,8,5,18,Denton ALY,4,39.948322,-82.953763,4,Possible Injury
Pedestrian,203133140,2020,8,7,14,High ST,4,40.02664,-83.014574,3,Non-Incapacitating Injury
Pedestrian,203134590,2020,8,5,4,Livingston AVE,3,39.95278,-82.996139,3,Non-Incapacitating Injury
Pedestrian,203134595,2020,8,2,23,5th AVE,2,39.98755,-83.017933,3,Non-Incapacitating Injury
Pedestrian,203136309,2020,8,6,16,Livingston AVE,4,39.952174,-82.982406,3,Non-Incapacitating Injury
Pedestrian,203136492,2020,8,4,14,Cleveland AVE,4,40.070573,-82.95218,2,Incapacitating Injury
Pedestrian,203137361,2020,8,4,13,Cleveland AVE,4,40.025603,-82.964505,4,Possible Injury
Pedestrian,203137478,2020,8,5,15,OHIO AVE,1,39.940947,-82.972226,3,Non-Incapacitating Injury
Pedestrian,203137527,2020,8,6,22,High ST,4,39.962275,-83.000665,2,Incapacitating Injury
Pedestrian,203137534,2020,8,6,19,Collins AVE,4,39.976319,-83.010928,3,Non-Incapacitating Injury
Pedestrian,203137611,2020,8,7,0,Alkire RD,2,39.915921,-83.071855,1,Fatal
Pedestrian,203137911,2020,8,7,12,BETHEL RD,4,40.063224,-83.042353,5,Property Damage
Pedestrian,203138468,2020,8,2,1,AGLER RD,2,40.021106,-82.928699,1,Fatal
Pedestrian,203140530,2020,8,3,18,THOMPSON RD,2,40.064333,-82.8586,3,Non-Incapacitating Injury
Pedestrian,203141982,2020,8,6,14,HINMAN AVE,4,39.92937,-82.993049,3,Non-Incapacitating Injury
Pedestrian,203142697,2020,8,7,23,Chittenden AVE,2,39.995198,-82.995739,3,Non-Incapacitating Injury
Pedestrian,203145197,2020,9,4,7,Rich ST,2,39.957476,-82.999758,3,Non-Incapacitating Injury
Pedestrian,203145922,2020,9,5,15,Roche DR,2,40.08549,-82.990387,3,Non-Incapacitating Injury
Pedestrian,203146252,2020,8,2,20,LEONARD AVE,4,39.981543,-82.956192,3,Non-Incapacitating Injury
Pedestrian,203146745,2020,9,6,15,Morse RD,4,40.060299,-82.967545,3,Non-Incapacitating Injury
Pedestrian,203146801,2020,9,5,20,Parsons AVE,4,39.92718,-82.984264,4,Possible Injury
Pedestrian,203147358,2020,8,1,1,I 71 N  IR 71,8,39.983734,-82.984746,1,Fatal
Pedestrian,203147925,2020,9,7,11,MARKET ST,2,40.078689,-82.809434,3,Non-Incapacitating Injury
Pedestrian,203148528,2020,9,3,16,5th AVE,2,39.988162,-83.03187,3,Non-Incapacitating Injury
Pedestrian,203149545,2020,9,3,21,JAMES RD,4,39.96277,-82.914271,4,Possible Injury
Pedestrian,203150223,2020,9,3,12,FRONT ST,4,39.954601,-83.000984,4,Possible Injury
Pedestrian,203151954,2020,9,7,21,Reeb AVE,2,39.925165,-82.992603,3,Non-Incapacitating Injury
Pedestrian,203151965,2020,9,6,20,High ST,4,40.071785,-83.019111,1,Fatal
Pedestrian,203152114,2020,9,6,21,10th AVE,2,39.99425,-83.010931,4,Possible Injury
Pedestrian,203152285,2020,8,4,12,Williams RD,2,39.891467,-82.987001,4,Possible Injury
Pedestrian,203153694,2020,9,2,19,Glenshaw PL,2,40.061991,-82.937516,3,Non-Incapacitating Injury
Pedestrian,203153961,2020,9,3,18,Ferris RD,4,40.050785,-82.976697,3,Non-Incapacitating Injury
Pedestrian,203153987,2020,9,2,16,LIVINGSTON AVE,2,39.946138,-82.809385,4,Possible Injury
Pedestrian,203154871,2020,9,2,20,Broad ST,4,39.955363,-83.065152,1,Fatal
Pedestrian,203154967,2020,9,4,21,I 270 E  IR 270,8,40.108246,-82.964112,3,Non-Incapacitating Injury
Pedestrian,203155930,2020,9,4,19,High ST,4,40.004926,-83.009043,3,Non-Incapacitating Injury
Pedestrian,203156997,2020,9,7,23,Cleveland AVE,4,39.986442,-82.989128,3,Non-Incapacitating Injury
Pedestrian,203158165,2020,9,4,15,BIXBY RD,2,39.869777,-82.841099,5,Property Damage
Pedestrian,203159256,2020,9,2,19,Cleveland AVE,2,40.008041,-82.970868,2,Incapacitating Injury
Pedestrian,203159883,2020,9,7,17,SOLDANO BLVD,2,39.956382,-83.096882,5,Property Damage
Pedestrian,203159973,2020,9,2,18,Weber RD,4,40.02374,-82.98834,3,Non-Incapacitating Injury
Pedestrian,203160047,2020,9,3,22,Innis AVE,2,39.926299,-82.995046,3,Non-Incapacitating Injury
Pedestrian,203160518,2020,9,5,17,HOLT RD,2,39.90101,-83.1193,2,Incapacitating Injury
Pedestrian,203160728,2020,9,5,4,High ST,4,39.985294,-83.005193,3,Non-Incapacitating Injury
Pedestrian,203161806,2020,9,6,16,Morse RD,4,40.059111,-82.944677,4,Possible Injury
Pedestrian,203162445,2020,9,6,12,HAVENS CORNERS RD,4,40.018309,-82.866464,5,Property Damage
Pedestrian,203162645,2020,9,1,20,Tamarack BLVD,4,40.085464,-82.969686,1,Fatal
Pedestrian,203162699,2020,9,2,6,Hamilton RD,2,39.941459,-82.878213,3,Non-Incapacitating Injury
Pedestrian,203162726,2020,9,5,18,17th AVE,2,39.99923,-82.95465,5,Property Damage
Pedestrian,203163566,2020,9,3,12,Clime RD,2,39.927613,-83.090424,3,Non-Incapacitating Injury
Pedestrian,203164444,2020,9,1,20,LIVINGSTON AVE,4,39.949674,-82.970007,3,Non-Incapacitating Injury
Pedestrian,203164667,2020,9,3,20,Main ST,4,39.954764,-82.833034,4,Possible Injury
Pedestrian,203165092,2020,9,3,21,Frederick ST,4,39.942555,-82.998678,3,Non-Incapacitating Injury
Pedestrian,203166139,2020,10,5,7,ROCKY FORK BLVD,4,40.013431,-82.865511,3,Non-Incapacitating Injury
Pedestrian,203167498,2020,10,2,6,Refugee RD,4,39.915154,-82.873957,3,Non-Incapacitating Injury
Pedestrian,203167583,2020,10,2,7,Town ST,4,39.959945,-82.990434,3,Non-Incapacitating Injury
Pedestrian,203168548,2020,10,2,22,HIGH ST,4,39.994093,-83.006875,5,Property Damage
Pedestrian,203168867,2020,10,7,14,RICKENBACKER AVE,2,39.963302,-82.89042,2,Incapacitating Injury
Pedestrian,203169033,2020,10,1,13,MALIN ST,2,40.059696,-82.957698,3,Non-Incapacitating Injury
Pedestrian,203169117,2020,10,4,16,Harris AVE,2,39.942768,-83.072104,3,Non-Incapacitating Injury
Pedestrian,203169370,2020,9,3,8,IR 70,7,39.945292,-82.942784,4,Possible Injury
Pedestrian,203170136,2020,10,6,19,SAWMILL RD,4,40.090965,-83.091794,2,Incapacitating Injury
Pedestrian,203171035,2020,10,6,9,High ST,4,39.99685,-83.007446,3,Non-Incapacitating Injury
Pedestrian,203171542,2020,10,1,20,Atwood TER,2,40.017274,-82.985507,4,Possible Injury
Pedestrian,203172509,2020,10,2,0,Alley ALY,2,39.950352,-83.034297,1,Fatal
Pedestrian,203173585,2020,10,2,19,ETNA RD,2,39.964457,-82.87596,3,Non-Incapacitating Injury
Pedestrian,203176247,2020,10,6,21,LIVINGSTON AVE,4,39.947899,-82.934366,2,Incapacitating Injury
Pedestrian,203178281,2020,10,2,7,3rd ST,3,39.95513,-82.996554,3,Non-Incapacitating Injury
Pedestrian,203178576,2020,10,2,15,Russell ST,2,39.975922,-83.0006,2,Incapacitating Injury
Pedestrian,203179756,2020,10,4,15,HARRISBURG PIKE,2,39.933158,-83.046921,3,Non-Incapacitating Injury
Pedestrian,203180926,2020,10,7,19,YEARLING RD,4,39.979674,-82.884548,2,Incapacitating Injury
Pedestrian,203181773,2020,10,6,20,High ST,4,39.99685,-83.007446,5,Property Damage
Pedestrian,203184325,2020,10,7,7,BROAD ST SR 16.0,4,39.976164,-82.873984,2,Incapacitating Injury
Pedestrian,203184745,2020,10,4,20,MORSE RD,6,40.057785,-82.914331,3,Non-Incapacitating Injury
Pedestrian,203187217,2020,10,7,10,Cleveland AVE,4,40.093554,-82.950457,2,Incapacitating Injury
Pedestrian,203187364,2020,10,6,19,High ST,4,39.990177,-83.006131,3,Non-Incapacitating Injury
Pedestrian,203187388,2020,10,6,18,Sullivant AVE,4,39.94271,-83.09324,1,Fatal
Pedestrian,203187445,2020,11,1,0,Fuji DR,2,40.087765,-82.956606,3,Non-Incapacitating Injury
Pedestrian,203189948,2020,10,5,7,Hampton RD,2,39.95102,-82.911806,2,Incapacitating Injury
Pedestrian,203189951,2020,10,5,7,Hampton RD,2,39.95102,-82.911806,2,Incapacitating Injury
Pedestrian,203189987,2020,11,3,6,Broad ST,4,39.986535,-82.779611,1,Fatal
Pedestrian,203191013,2020,11,2,14,BROAD ST,4,39.958616,-83.030239,3,Non-Incapacitating Injury
Pedestrian,203191834,2020,11,3,12,Main ST,2,39.957536,-82.945741,4,Possible Injury
Pedestrian,203191967,2020,11,3,21,Eakin RD,2,39.932005,-83.048392,3,Non-Incapacitating Injury
Pedestrian,203192908,2020,11,6,18,High ST,4,40.031595,-83.01588,4,Possible Injury
Pedestrian,203194262,2020,11,4,13,US 40.0,6,39.947359,-83.119988,3,Non-Incapacitating Injury
Pedestrian,203194659,2020,11,6,18,Livingston AVE,4,39.948925,-82.954833,2,Incapacitating Injury
Pedestrian,203194735,2020,11,2,17,HAMILTON RD,2,40.041972,-82.864679,3,Non-Incapacitating Injury
Pedestrian,203194927,2020,11,2,11,3rd ST,3,39.959145,-82.997342,4,Possible Injury
Pedestrian,203194931,2020,11,2,14,Cassady AVE,2,39.985148,-82.931554,4,Possible Injury
Pedestrian,203194971,2020,11,7,9,Innis AVE,4,39.92633,-82.995609,3,Non-Incapacitating Injury
Pedestrian,203195511,2020,11,1,14,High ST,4,39.975632,-83.003266,2,Incapacitating Injury
Pedestrian,203195805,2020,11,7,8,ALLEGHENY AVE,4,39.980726,-82.920136,3,Non-Incapacitating Injury
Pedestrian,203197487,2020,11,3,18,Sullivant AVE,4,39.942484,-83.097494,3,Non-Incapacitating Injury
Pedestrian,203198640,2020,10,5,17,Livingston AVE,2,39.946435,-82.906306,3,Non-Incapacitating Injury
Pedestrian,203198783,2020,11,5,18,4th ST,2,40.000484,-82.998736,3,Non-Incapacitating Injury
Pedestrian,203199066,2020,11,4,19,MORSE RD,4,40.060646,-82.977353,1,Fatal
Pedestrian,203199391,2020,9,1,19,16th AVE,2,39.99915,-82.971574,3,Non-Incapacitating Injury
Pedestrian,203199597,2020,11,7,19,Mound ST,4,39.947855,-83.028252,2,Incapacitating Injury
Pedestrian,203199657,2020,11,7,21,CHAMPION AVE,2,39.963333,-82.969018,3,Non-Incapacitating Injury
Pedestrian,203201218,2020,11,2,11,MAIN ST,4,39.956715,-82.918758,2,Incapacitating Injury
Pedestrian,203201817,2020,8,2,13,ASTOR AVE,2,39.946181,-82.829922,5,Property Damage
Pedestrian,203201924,2020,11,3,18,Main ST,4,39.957526,-82.955123,3,Non-Incapacitating Injury
Pedestrian,203202775,2020,11,3,19,Central AVE,4,39.955757,-83.037768,2,Incapacitating Injury
Pedestrian,203202825,2020,11,4,14,WESTPORT RD,2,39.944851,-83.11685,4,Possible Injury
Pedestrian,203203585,2020,11,4,16,DREXEL AVE US 40.0,2,39.962464,-82.937673,2,Incapacitating Injury
Pedestrian,203203708,2020,10,6,22,Mound ST,2,39.956329,-82.958669,3,Non-Incapacitating Injury
Pedestrian,203205015,2020,11,4,14,Parsons AVE,4,39.932951,-82.983837,4,Possible Injury
Pedestrian,203205678,2020,11,3,20,Refugee RD,2,39.912759,-82.832201,3,Non-Incapacitating Injury
Pedestrian,203206200,2020,11,6,16,ACADIA AVE,2,39.936769,-82.973908,3,Non-Incapacitating Injury
Pedestrian,203207583,2020,11,1,18,Oakley AVE,2,39.955545,-83.062872,3,Non-Incapacitating Injury
Pedestrian,203209154,2020,11,5,23,Refugee RD,4,39.915117,-82.8733,2,Incapacitating Injury
Pedestrian,203209266,2020,11,4,12,Livingston AVE,4,39.949678,-82.970091,3,Non-Incapacitating Injury
Pedestrian,203209662,2020,11,6,22,High ST,4,40.004931,-83.009044,3,Non-Incapacitating Injury
Pedestrian,203214227,2020,11,7,6,Kingsland RD,4,39.925852,-82.879693,3,Non-Incapacitating Injury
Pedestrian,203214228,2020,12,3,21,Livingston AVE,4,39.946093,-82.900834,3,Non-Incapacitating Injury
Pedestrian,203214373,2020,12,3,20,High ST,4,40.01668,-83.011958,3,Non-Incapacitating Injury
Pedestrian,203214423,2020,12,4,17,STANDBURN RD,4,40.117705,-83.080402,4,Possible Injury
Pedestrian,203215585,2020,12,5,20,4th ST,2,39.999613,-82.998764,3,Non-Incapacitating Injury
Pedestrian,203218106,2020,12,3,18,EAKIN RD,2,39.933412,-83.056337,3,Non-Incapacitating Injury
Pedestrian,203219037,2020,12,7,3,I 71 S  IR 71.0,8,39.944067,-83.012883,2,Incapacitating Injury
Pedestrian,203220565,2020,12,4,20,GREAT SOUTHERN SERVICE RD,4,39.88899,-82.997845,5,Property Damage
Pedestrian,203220795,2020,12,6,12,HIGH ST,4,39.960148,-83.000259,4,Possible Injury
Pedestrian,203220898,2020,12,6,18,Georgesville DR,4,39.940508,-83.112205,3,Non-Incapacitating Injury
Pedestrian,203221857,2020,12,6,12,MAIN ST,2,39.854474,-82.896453,4,Possible Injury
Pedestrian,203222315,2020,12,7,16,DEMOREST RD,2,39.939042,-83.089745,3,Non-Incapacitating Injury
Pedestrian,203222821,2020,12,5,19,BRICE RD,4,39.94345,-82.829773,5,Property Damage
Pedestrian,203223226,2020,11,2,6,RICKENBACKER AVE,2,39.962628,-82.885769,3,Non-Incapacitating Injury
Pedestrian,203223251,2020,11,3,17,MAIN RD US 40.0,4,39.955751,-82.88643,4,Possible Injury
Pedestrian,203223266,2020,11,3,21,ROBINWOOD AVE,2,39.973851,-82.89599,3,Non-Incapacitating Injury
Pedestrian,203223896,2020,12,4,18,PARSONS AVE,4,39.923755,-82.984509,2,Incapacitating Injury
Pedestrian,203228314,2020,12,2,22,CLEVELAND AVE,4,40.082445,-82.951296,3,Non-Incapacitating Injury
Pedestrian,203229685,2020,12,5,7,WALCUTT RD,2,40.011243,-83.140269,2,Incapacitating Injury
Pedestrian,203229762,2020,12,5,6,Kings Realm AVE,2,39.913287,-82.841193,3,Non-Incapacitating Injury
Pedestrian,203229770,2020,12,2,17,TUSSING RD,2,39.927107,-82.825406,4,Possible Injury
Pedestrian,203229884,2020,12,5,8,EASTON LOOP ST,2,40.09239,-82.918196,3,Non-Incapacitating Injury
