OBJECTID,MaxInjuryS,CaseYear,CrashDate,CrashTimeF,CrashType,UTMEasting,UTMNorthin,OnStreet
19108255,B - INJURY,2022,7/12/2022,3:35 PM,COLLISION WITH PEDESTRIAN,600835,4734583,
19080158,B - INJURY,2022,12/22/2022,7:21 PM,COLLISION WITH PEDESTRIAN,606291.1601,4731549.76,18TH STREET
19075366,B - INJURY,2022,12/17/2022,2:18 PM,COLLISION WITH PEDESTRIAN,596779.8321,4729434.199,WOLF ROAD
19071321,B - INJURY,2022,12/13/2022,3:43 PM,COLLISION WITH PEDESTRIAN,600237.64,4734603.12,WADE ROAD EXTENSION
19071247,B - INJURY,2022,12/13/2022,4:39 PM,COLLISION WITH PEDESTRIAN,597404.2077,4729974.755,WOLF ROAD
19105989,B - INJURY,2022,12/1/2022,12:20 PM,COLLISION WITH PEDESTRIAN,600366.77,4724196.47,QUAIL STREET
19069987,B - INJURY,2022,12/8/2022,10:01 AM,COLLISION WITH PEDESTRIAN,599762.94,4722981.23,NEW SCOTLAND AVENUE
19067840,A - SERIOUS INJURY,2022,12/11/2022,1:17 PM,COLLISION WITH PEDESTRIAN,602436.0577,4722152.825,UNITED STATES ROUTE 9
19045043,B - INJURY,2022,11/23/2022,11:56 AM,COLLISION WITH PEDESTRIAN,597554.7979,4720229.98,PARKING LOT
19042756,A - SERIOUS INJURY,2022,11/10/2022,9:02 PM,COLLISION WITH PEDESTRIAN,597224.07,4728205.22,AHL AVENUE
19038203,B - INJURY,2022,11/16/2022,7:28 AM,COLLISION WITH PEDESTRIAN,607333.44,4736435.74,PARK AVENUE
19033248,B - INJURY,2022,11/12/2022,12:28 AM,COLLISION WITH BICYCLIST,600543.8187,4724376.989,CENTRAL AVENUE
19031867,B - INJURY,2022,11/12/2022,12:37 PM,COLLISION WITH PEDESTRIAN,602636.9757,4736693.09,STACEY COURT
19028037,B - INJURY,2022,11/9/2022,5:24 PM,COLLISION WITH PEDESTRIAN,600644.87,4723227.66,NEW SCOTLAND AVENUE
19020685,B - INJURY,2022,11/4/2022,3:43 PM,COLLISION WITH BICYCLIST,601244.8716,4713477.072,RIVER ROAD
19020354,B - INJURY,2022,11/3/2022,1:03 PM,COLLISION WITH PEDESTRIAN,602075.5801,4722228.99,MADISON AVENUE
19019932,B - INJURY,2022,10/14/2022,11:41 AM,COLLISION WITH PEDESTRIAN,599425.3146,4723946.233,MORRIS STREET
19052043,A - SERIOUS INJURY,2022,10/31/2022,7:04 PM,COLLISION WITH PEDESTRIAN,596694.7,4715648.24,ASHGROVE LANE
19019294,B - INJURY,2022,10/31/2022,8:35 AM,COLLISION WITH PEDESTRIAN,598463.08,4723241.19,SOUTH MAIN AVENUE
19038657,B - INJURY,2022,10/22/2022,3:05 PM,COLLISION WITH BICYCLIST,606445.8507,4733855.074,STATE ROUTE 787
19009350,B - INJURY,2022,10/14/2022,6:46 AM,COLLISION WITH PEDESTRIAN,607547.4151,4736302.274,Delaware Avenue
19005721,A - SERIOUS INJURY,2022,10/17/2022,8:49 AM,COLLISION WITH PEDESTRIAN,600214.35,4721108.94,INTERSTATE 787
19018757,B - INJURY,2022,10/14/2022,10:26 PM,COLLISION WITH PEDESTRIAN,601658.5559,4724021.562,2nd Street
19018756,B - INJURY,2022,10/19/2022,4:43 PM,COLLISION WITH PEDESTRIAN,601553.743,4723861.043,CLINTON AVENUE
19015635,B - INJURY,2022,10/15/2022,9:00 AM,COLLISION WITH PEDESTRIAN,599819.0709,4723850.351,ONTARIO STREET
19002433,B - INJURY,2022,10/17/2022,6:42 AM,COLLISION WITH PEDESTRIAN,579230.8266,4728119.253,MAIN STREET
19001978,B - INJURY,2022,10/19/2022,6:54 PM,COLLISION WITH PEDESTRIAN,595387.3787,4730322.328,CENTRAL AVENUE
19001424,A - SERIOUS INJURY,2022,10/18/2022,11:28 AM,COLLISION WITH BICYCLIST,601185.7511,4714165.886,RIVER ROAD
18999422,B - INJURY,2022,10/13/2022,7:30 PM,COLLISION WITH PEDESTRIAN,601163,4733798.81,HERBERT DRIVE
18996458,B - INJURY,2022,10/14/2022,6:41 AM,COLLISION WITH PEDESTRIAN,600223.46,4722951.55,HOLLAND AVENUE
18997367,B - INJURY,2022,10/1/2022,7:00 PM,COLLISION WITH BICYCLIST,601052.33,4724244.64,ROBIN STREET
19007524,A - SERIOUS INJURY,2022,10/5/2022,9:00 PM,COLLISION WITH BICYCLIST,602617.07,4723574.47,BROADWAY
19007255,B - INJURY,2022,9/1/2022,3:25 PM,COLLISION WITH PEDESTRIAN,594587.5412,4731249.466,CENTRAL AVENUE
19006840,A - SERIOUS INJURY,2022,10/9/2022,3:20 PM,COLLISION WITH BICYCLIST,593564.6485,4718542.031,LONGMEADOW DRIVE
19006728,B - INJURY,2022,9/29/2022,7:45 PM,COLLISION WITH PEDESTRIAN,601538.3301,4723673.75,SHERIDAN AVENUE
19006659,B - INJURY,2022,10/4/2022,7:02 PM,COLLISION WITH PEDESTRIAN,599999.21,4723714.12,QUAIL STREET
18984854,B - INJURY,2022,10/4/2022,10:04 PM,COLLISION WITH BICYCLIST,596847.4,4728637.88,HACKETT AVENUE
19004797,B - INJURY,2022,10/2/2022,5:46 PM,COLLISION WITH BICYCLIST,600224.65,4724744.97,PARTRIDGE STREET
19002736,B - INJURY,2022,9/19/2022,3:13 PM,COLLISION WITH PEDESTRIAN,603271.0201,4725278.269,NORTH PEARL STREET
19002734,B - INJURY,2022,9/23/2022,5:09 PM,COLLISION WITH PEDESTRIAN,600126.1715,4734465.912,WADE ROAD
18978049,B - INJURY,2022,9/26/2022,6:27 PM,COLLISION WITH PEDESTRIAN,606301.83,4731659.66,2ND AVENUE
18977738,A - SERIOUS INJURY,2022,9/27/2022,2:06 PM,COLLISION WITH PEDESTRIAN,602237.6733,4723793.439,NORTH SWAN STREET
18976778,B - INJURY,2022,8/31/2022,4:38 PM,COLLISION WITH PEDESTRIAN,600932.45,4722710.83,MYRTLE AVENUE
18972981,A - SERIOUS INJURY,2022,9/22/2022,8:16 PM,COLLISION WITH PEDESTRIAN,597414.3908,4725477.514,CAMPUS OUTER RING ROAD
18987856,B - INJURY,2022,9/20/2022,3:07 PM,COLLISION WITH PEDESTRIAN,605508.1295,4737568.498,MAIDEN LANE
18965969,B - INJURY,2022,9/21/2022,7:33 AM,COLLISION WITH BICYCLIST,593795.8132,4718553.373,DELAWARE AVENUE
18965939,A - SERIOUS INJURY,2022,9/15/2022,8:05 PM,COLLISION WITH PEDESTRIAN,601582.9572,4734365.533,LOUDON ROAD
18963626,B - INJURY,2022,9/18/2022,8:52 PM,COLLISION WITH PEDESTRIAN,601878.3175,4721705.509,SOUTH PEARL STREET
18963616,B - INJURY,2022,9/15/2022,6:20 PM,COLLISION WITH PEDESTRIAN,601732.9023,4723965.831,2ND STREET
18958830,A - SERIOUS INJURY,2022,9/16/2022,8:00 PM,COLLISION WITH PEDESTRIAN,600644.87,4723227.66,NEW SCOTLAND AVENUE
18957429,B - INJURY,2022,9/14/2022,5:19 PM,COLLISION WITH PEDESTRIAN,601292.96,4720695.56,MOUNT HOPE DRIVE
18957270,B - INJURY,2022,8/28/2022,10:36 AM,COLLISION WITH BICYCLIST,601199.31,4723216.86,LANCASTER STREET
18992753,B - INJURY,2022,9/5/2022,8:48 PM,COLLISION WITH PEDESTRIAN,599248.74,4724279.76,SOUTH MAIN AVENUE
18954943,B - INJURY,2022,9/13/2022,6:05 PM,COLLISION WITH BICYCLIST,599863.3501,4721673.53,DELAWARE AVENUE
18952153,B - INJURY,2022,8/31/2022,9:25 AM,COLLISION WITH BICYCLIST,599075.6543,4724333.889,WEST LAWRENCE STREET
18945020,A - SERIOUS INJURY,2022,9/4/2022,11:20 PM,COLLISION WITH PEDESTRIAN,597625.92,4727738.63,WILSON AVENUE
18970743,B - INJURY,2022,8/22/2022,3:00 PM,COLLISION WITH PEDESTRIAN,599644.42,4723982.12,PARTRIDGE STREET
18942631,B - INJURY,2022,8/22/2022,8:36 PM,COLLISION WITH PEDESTRIAN,600966.7964,4722984.309,MADISON AVENUE
18937873,B - INJURY,2022,8/29/2022,2:03 PM,COLLISION WITH PEDESTRIAN,597239.6359,4730014.761,SAND CREEK ROAD
18952609,B - INJURY,2022,8/25/2022,12:15 PM,COLLISION WITH PEDESTRIAN,601195.8621,4723580.582,HENRY JOHNSON BOULEVARD
18934567,B - INJURY,2022,8/26/2022,9:15 PM,COLLISION WITH BICYCLIST,595771.3251,4726948.751,TRICENTENNIAL DRIVE
18929336,B - INJURY,2022,8/27/2022,2:16 PM,COLLISION WITH BICYCLIST,605798.87,4731003.29,6TH AVENUE
18929945,B - INJURY,2022,8/26/2022,5:30 PM,COLLISION WITH PEDESTRIAN,599946.65,4725067.16,MANNING SQUARE
18924959,B - INJURY,2022,8/23/2022,7:37 AM,COLLISION WITH BICYCLIST,597585.23,4727800.92,FREDERICK AVENUE
18924872,B - INJURY,2022,8/2/2022,5:35 PM,COLLISION WITH PEDESTRIAN,600259.1189,4721099.664,MCCARTY AVENUE
18934797,B - INJURY,2022,8/14/2022,4:30 PM,COLLISION WITH PEDESTRIAN,601789.3184,4723920.078,LARK STREET
18934039,B - INJURY,2022,8/17/2022,11:57 AM,COLLISION WITH OTHER PEDESTRIAN,579419.6273,4727951.834,LARK STREET
18917424,B - INJURY,2022,8/14/2022,7:45 PM,COLLISION WITH PEDESTRIAN,601826.9246,4723775.501,1ST STREET
18933948,B - INJURY,2022,8/11/2022,6:08 PM,COLLISION WITH PEDESTRIAN,600502.95,4724375.71,QUAIL STREET
18933930,B - INJURY,2022,8/13/2022,8:58 PM,COLLISION WITH BICYCLIST,601779.37,4724179.87,LIVINGSTON AVENUE
18912835,B - INJURY,2022,8/14/2022,5:57 PM,COLLISION WITH PEDESTRIAN,599113.09,4724382,WEST LAWRENCE STREET
18931297,U - UNKNOWN,2022,8/9/2022,11:57 AM,COLLISION WITH PEDESTRIAN,606182.3306,4736076.271,CONGRESS STREET
18912017,B - INJURY,2022,8/5/2022,10:41 PM,COLLISION WITH PEDESTRIAN,599113.09,4724382,WEST LAWRENCE STREET
18931639,B - INJURY,2022,8/4/2022,10:50 PM,COLLISION WITH BICYCLIST,602382.1708,4723478.187,TEN BROECK STREET
18924243,B - INJURY,2022,7/18/2022,4:18 PM,COLLISION WITH BICYCLIST,598463.08,4723241.19,SOUTH MAIN AVENUE
18921601,A - SERIOUS INJURY,2022,8/8/2022,2:32 PM,COLLISION WITH PEDESTRIAN,600523.8301,4724400,QUAIL STREET
18926373,U - UNKNOWN,2022,7/31/2022,4:58 PM,COLLISION WITH PEDESTRIAN,578177.4133,4722805.25,THOMPSONS LAKE STATE PARK
18916402,B - INJURY,2022,8/3/2022,2:35 PM,COLLISION WITH BICYCLIST,602668.36,4731622.28,FIDDLERS LANE
18931697,B - INJURY,2022,7/27/2022,8:49 PM,COLLISION WITH PEDESTRIAN,587455.1978,4729910.875,CARMAN ROAD
18914883,B - INJURY,2022,7/27/2022,2:17 PM,COLLISION WITH PEDESTRIAN,588140.4571,4722474.871,MAPLE AVENUE
18899243,A - SERIOUS INJURY,2022,7/29/2022,7:32 AM,COLLISION WITH PEDESTRIAN,606292.6328,4731564.929,2ND AVENUE
18914497,B - INJURY,2022,7/24/2022,11:17 AM,COLLISION WITH BICYCLIST,599559.218,4721516.714,DELAWARE AVENUE
18912084,A - SERIOUS INJURY,2022,7/19/2022,10:15 AM,COLLISION WITH BICYCLIST,599000.16,4726152.24,COLVIN AVENUE
18909883,A - SERIOUS INJURY,2022,7/4/2022,9:21 PM,COLLISION WITH PEDESTRIAN,602018.7901,4723507.21,NORTH SWAN STREET
18908535,A - SERIOUS INJURY,2022,7/10/2022,1:00 AM,COLLISION WITH PEDESTRIAN,598996.21,4723945.84,RYCKMAN AVENUE
18884036,B - INJURY,2022,7/21/2022,7:07 AM,COLLISION WITH PEDESTRIAN,596443.8468,4729141.162,WOLF ROAD
18888981,B - INJURY,2022,7/22/2022,9:54 PM,COLLISION WITH BICYCLIST,599618.8101,4724765.33,NORTH MAIN AVENUE
18929128,A - SERIOUS INJURY,2022,7/18/2022,8:55 PM,COLLISION WITH PEDESTRIAN,601917.75,4721793.06,SOUTH PEARL STREET
18885569,B - INJURY,2022,7/18/2022,5:49 PM,COLLISION WITH BICYCLIST,607454.27,4736406.52,CONTINENTAL AVENUE
18932680,A - SERIOUS INJURY,2022,7/11/2022,9:05 PM,COLLISION WITH PEDESTRIAN,599880.68,4723935.32,ONTARIO STREET
18890502,A - SERIOUS INJURY,2022,7/7/2022,6:48 AM,COLLISION WITH BICYCLIST,600644.87,4723227.66,NEW SCOTLAND AVENUE
18901699,A - SERIOUS INJURY,2022,7/15/2022,9:26 AM,COLLISION WITH OTHER PEDESTRIAN,579693.44,4721098.62,BEAVER DAM ROAD
18923700,B - INJURY,2022,7/2/2022,4:48 PM,COLLISION WITH BICYCLIST,588429.1964,4728831.901,WESTERN AVENUE
18899317,B - INJURY,2022,7/21/2022,9:30 PM,COLLISION WITH BICYCLIST,600250.5221,4723525.737,MADISON AVENUE
18898561,A - SERIOUS INJURY,2022,7/20/2022,8:51 PM,COLLISION WITH BICYCLIST,601155.2314,4724655.702,LIVINGSTON AVENUE
18885643,U - UNKNOWN,2022,7/20/2022,6:02 PM,COLLISION WITH PEDESTRIAN,600321.98,4723717.56,SOUTH LAKE AVENUE
18897327,B - INJURY,2022,7/11/2022,5:50 PM,COLLISION WITH PEDESTRIAN,601933.7,4722074.41,TRINITY PLACE
18898376,B - INJURY,2022,7/9/2022,9:47 AM,COLLISION WITH PEDESTRIAN,596695.47,4729363.01,WOLF ROAD
18739556,A - SERIOUS INJURY,2022,7/8/2022,5:54 PM,COLLISION WITH BICYCLIST,605951.78,4736407.94,HIGH STREET
18891056,A - SERIOUS INJURY,2022,7/6/2022,11:40 PM,COLLISION WITH PEDESTRIAN,601111.21,4723473.03,WASHINGTON PARK ROAD
18737855,B - INJURY,2022,5/23/2022,3:40 PM,COLLISION WITH BICYCLIST,606106.3559,4736230.637,ALLEY
18932954,B - INJURY,2022,6/29/2022,12:14 PM,COLLISION WITH BICYCLIST,600106.0401,4723435.33,SOUTH LAKE AVENUE
18736210,B - INJURY,2022,7/2/2022,4:48 PM,COLLISION WITH BICYCLIST,579175.9272,4728620.771,WESTERN AVE
18734980,C - POSSIBLE INJURY,2022,6/27/2022,6:32 PM,COLLISION WITH BICYCLIST,575280.8254,4727951.652,TOWNSHIP RD
18727929,B - INJURY,2022,6/10/2022,10:53 PM,COLLISION WITH BICYCLIST,601633.87,4723800.33,LARK ST
18727917,C - POSSIBLE INJURY,2022,6/24/2022,7:54 AM,COLLISION WITH PEDESTRIAN,600162.8403,4722957.938,NEW SCOTLAND AVE
18726513,C - POSSIBLE INJURY,2022,6/23/2022,8:14 PM,COLLISION WITH BICYCLIST,597578.0806,4727794.069,CENTRAL AVE
18719315,B - INJURY,2022,6/13/2022,7:16 PM,COLLISION WITH PEDESTRIAN,600130.47,4724852.79,CENTRAL AVE
18718336,A - SERIOUS INJURY,2022,6/8/2022,9:43 PM,COLLISION WITH PEDESTRIAN,602125.39,4721546.99,DONGAN AVE
18716771,B - INJURY,2022,6/14/2022,10:30 PM,COLLISION WITH BICYCLIST,599783.81,4724167.17,WESTERN AVE
18709984,C - POSSIBLE INJURY,2022,6/3/2022,11:04 AM,COLLISION WITH PEDESTRIAN,600190.49,4724330.42,ONTARIO ST
18709596,C - POSSIBLE INJURY,2022,5/25/2022,6:15 PM,COLLISION WITH BICYCLIST,601347.9815,4733148.001,LOUDON RD
18709593,B - INJURY,2022,6/8/2022,9:00 AM,COLLISION WITH PEDESTRIAN,594154.744,4731752.108,NEW KARNER ROAD
18709476,C - POSSIBLE INJURY,2022,6/2/2022,8:24 AM,COLLISION WITH PEDESTRIAN,601111.21,4723473.03,WASHINGTON PARK RD
18707846,B - INJURY,2022,6/5/2022,3:48 PM,COLLISION WITH PEDESTRIAN,601611.25,4724057,HENRY JOHNSON BLVD
18707835,B - INJURY,2022,5/31/2022,5:25 PM,COLLISION WITH BICYCLIST,599503.3052,4725573.792,CENTRAL AVENUE
18706178,B - INJURY,2022,6/4/2022,5:25 PM,COLLISION WITH BICYCLIST,597073.9212,4713410.454,JERICHO RD
18705582,A - SERIOUS INJURY,2022,6/6/2022,10:05 AM,COLLISION WITH PEDESTRIAN,595198.5307,4730539.453,BRODERICK ST
18699272,C - POSSIBLE INJURY,2022,6/3/2022,6:45 PM,COLLISION WITH BICYCLIST,596498.88,4725527.16,UNIVERSITY PL
18699106,C - POSSIBLE INJURY,2022,6/1/2022,8:25 AM,COLLISION WITH PEDESTRIAN,600362.8236,4722950.739,NEW SCOTLAND AVE
18698266,C - POSSIBLE INJURY,2022,6/1/2022,2:18 PM,COLLISION WITH PEDESTRIAN,594161.3862,4731758.622,NEW KARNER RD
18697484,C - POSSIBLE INJURY,2022,6/1/2022,8:28 AM,COLLISION WITH PEDESTRIAN,598003.1777,4730529.166,METRO PARK RD
18696436,C - POSSIBLE INJURY,2022,5/31/2022,8:52 AM,COLLISION WITH BICYCLIST,597998.7644,4730533.177,WOLF RD
18695153,C - POSSIBLE INJURY,2022,5/28/2022,4:26 PM,COLLISION WITH PEDESTRIAN,594628.2472,4731202.213,CENTRAL AVE
18691932,B - INJURY,2022,5/26/2022,12:30 PM,COLLISION WITH OTHER PEDESTRIAN,597577.5908,4727794.64,CENTRAL AVE
18690151,C - POSSIBLE INJURY,2022,5/18/2022,10:19 PM,COLLISION WITH PEDESTRIAN,598158.18,4723392.25,S ALLEN ST
18682152,B - INJURY,2022,5/13/2022,6:46 PM,COLLISION WITH PEDESTRIAN,600876.09,4721484.83,2ND AVE
18678195,B - INJURY,2022,5/10/2022,5:52 PM,COLLISION WITH OTHER PEDESTRIAN,600912.77,4723026.2,MADISON AVE
18671591,A - SERIOUS INJURY,2022,5/8/2022,9:03 PM,COLLISION WITH PEDESTRIAN,594406.5301,4731458.458,CENTRAL AVE
18671299,A - SERIOUS INJURY,2022,5/10/2022,8:58 AM,COLLISION WITH BICYCLIST,597288,4726416,
18669933,A - SERIOUS INJURY,2022,5/5/2022,12:42 PM,COLLISION WITH PEDESTRIAN,601934.69,4722280.34,GRAND ST
18667392,C - POSSIBLE INJURY,2022,4/30/2022,12:04 PM,COLLISION WITH PEDESTRIAN,600361.11,4724587.12,CENTRAL AVE
18666029,B - INJURY,2022,5/1/2022,4:55 PM,COLLISION WITH BICYCLIST,598136,4713726,
18665663,C - POSSIBLE INJURY,2022,5/4/2022,8:18 AM,COLLISION WITH PEDESTRIAN,603604.5212,4735049.189,VERMONT VIEW DR
18664652,C - POSSIBLE INJURY,2022,4/28/2022,5:26 PM,COLLISION WITH PEDESTRIAN,601903.42,4722215.57,GRAND ST
18664599,B - INJURY,2022,4/28/2022,7:20 PM,COLLISION WITH PEDESTRIAN,600225.8235,4725237.61,3RD ST
18664536,C - POSSIBLE INJURY,2022,4/30/2022,9:19 PM,COLLISION WITH PEDESTRIAN,597150.32,4723575.3,KRUMKILL RD
18664526,C - POSSIBLE INJURY,2022,5/1/2022,11:53 AM,COLLISION WITH PEDESTRIAN,601866.04,4721874.38,ARCH ST
18658160,B - INJURY,2022,4/6/2022,9:13 PM,COLLISION WITH PEDESTRIAN,593509.0768,4726779.189,WESTERN AVE
18648295,B - INJURY,2022,4/13/2022,4:40 PM,COLLISION WITH BICYCLIST,591861.3261,4719992.718,NEW SCOTLAND RD
18645922,A - SERIOUS INJURY,2022,4/15/2022,10:30 AM,COLLISION WITH PEDESTRIAN,599999.53,4725004.17,CENTRAL AVE
18644274,A - SERIOUS INJURY,2022,4/12/2022,3:15 PM,COLLISION WITH BICYCLIST,597404.1267,4725465.65,STATE CAMPUS RD
18641881,B - INJURY,2022,4/11/2022,12:35 PM,COLLISION WITH PEDESTRIAN,594405.8687,4731458.144,KARNER RD
18638201,B - INJURY,2022,3/27/2022,10:26 AM,COLLISION WITH PEDESTRIAN,600523.83,4724400,CENTRAL AVE
18637154,C - POSSIBLE INJURY,2022,4/3/2022,4:27 PM,COLLISION WITH PEDESTRIAN,601397.63,4723782.65,HENRY JOHNSON BLVD
18634427,A - SERIOUS INJURY,2022,4/4/2022,6:13 AM,COLLISION WITH PEDESTRIAN,593271.1794,4719431.865,ORCHARD ST
18632192,B - INJURY,2022,4/4/2022,9:42 PM,COLLISION WITH PEDESTRIAN,600890.53,4724367.79,CLINTON AVE
18631116,C - POSSIBLE INJURY,2022,4/3/2022,8:30 AM,COLLISION WITH PEDESTRIAN,596658.185,4718223.492,MCGUFFEY LN
18630706,C - POSSIBLE INJURY,2022,3/30/2022,10:45 AM,COLLISION WITH BICYCLIST,599248.74,4724279.76,MADISON AVE
18629743,C - POSSIBLE INJURY,2022,3/21/2022,10:21 PM,COLLISION WITH PEDESTRIAN,599113.09,4724382,MADISON AVE
18628711,B - INJURY,2022,3/31/2022,3:28 PM,COLLISION WITH BICYCLIST,598125.2365,4728915.205,SAND CREEK RD
18624851,A - SERIOUS INJURY,2022,3/11/2022,6:24 PM,COLLISION WITH PEDESTRIAN,597583.161,4727788.139,CENTRAL AVE
18623582,C - POSSIBLE INJURY,2022,3/26/2022,2:26 AM,COLLISION WITH PEDESTRIAN,600944.59,4723729.16,LEXINGTON AVE
18620725,C - POSSIBLE INJURY,2022,3/24/2022,6:47 AM,COLLISION WITH PEDESTRIAN,601362.49,4723438.49,LARK ST
18620411,A - SERIOUS INJURY,2022,3/23/2022,4:40 PM,COLLISION WITH OTHER PEDESTRIAN,599486.0491,4725593.598,CENTRAL AVE
18616099,A - SERIOUS INJURY,2022,3/18/2022,8:12 PM,COLLISION WITH PEDESTRIAN,602374.9263,4725292.374,NORTHERN BLVD
18610760,B - INJURY,2022,3/4/2022,6:50 AM,COLLISION WITH PEDESTRIAN,605272.31,4732039.76,19TH ST
18605909,C - POSSIBLE INJURY,2022,3/11/2022,3:26 PM,COLLISION WITH PEDESTRIAN,599000.16,4726152.24,CENTRAL AVE
18600294,B - INJURY,2022,3/6/2022,6:50 AM,COLLISION WITH PEDESTRIAN,605272.31,4732039.76,19TH ST
18596022,B - INJURY,2022,3/4/2022,2:55 PM,COLLISION WITH PEDESTRIAN,601362.49,4723438.49,WASHINGTON AVE
18592372,C - POSSIBLE INJURY,2022,2/19/2022,8:44 PM,COLLISION WITH PEDESTRIAN,601991.4174,4722258.934,MADISON AVE
18592371,C - POSSIBLE INJURY,2022,2/26/2022,3:31 AM,COLLISION WITH PEDESTRIAN,601316.7654,4723221.894,CHESTNUT ST
18591432,B - INJURY,2022,2/27/2022,3:30 AM,COLLISION WITH PEDESTRIAN,599999.21,4723714.12,MADISON AVE
18586781,C - POSSIBLE INJURY,2022,2/25/2022,7:49 PM,COLLISION WITH PEDESTRIAN,606516.0516,4736355.577,SARATOGA ST
18583525,B - INJURY,2022,2/22/2022,8:00 AM,COLLISION WITH BICYCLIST,600097.2025,4723346.069,MYRTLE AVE
18582469,A - SERIOUS INJURY,2022,2/21/2022,3:30 PM,COLLISION WITH BICYCLIST,596146.9301,4719742.13,DELAWARE AVE
18582396,B - INJURY,2022,2/9/2022,6:47 PM,COLLISION WITH PEDESTRIAN,591516.1334,4727670.615,WESTERN AVE
18582022,A - SERIOUS INJURY,2022,2/12/2022,7:24 PM,COLLISION WITH PEDESTRIAN,593421.43,4726814.73,WESTERN AVE
